"","lat","lon","grid_id","EpiDist","VS30"
"154",32.8,-122.2,154,374.664914121109,600
"190",32.8,-122,190,357.873540268315,600
"226",32.8,-121.8,226,341.267259605113,600
"262",32.8,-121.6,262,324.874523479097,600
"298",32.8,-121.4,298,308.729415514565,600
"334",32.8,-121.2,334,292.872956244373,600
"370",32.8,-121,370,277.354720435316,600
"406",32.8,-120.8,406,262.234822698128,600
"442",32.8,-120.6,442,247.586313595734,600
"478",32.8,-120.4,478,233.497987207587,600
"514",32.8,-120.2,514,220.077507862724,600
"550",32.8,-120,550,207.454582030279,600
"586",32.8,-119.8,586,195.783585860615,600
"622",32.8,-119.6,622,185.244577814554,600
"658",32.8,-119.4,658,176.041023266375,600
"694",32.8,-119.2,694,168.392071165619,600
"730",32.8,-119,730,162.517404209091,600
"766",32.8,-118.8,766,158.61431275504,600
"802",32.8,-118.6,802,156.830082911756,600
"838",32.8,-118.4,838,157.236868600108,600
"874",32.8,-118.2,874,159.817938791162,600
"910",32.8,-118,910,164.470951854085,600
"946",32.8,-117.8,946,171.026865071545,600
"982",32.8,-117.6,982,179.277017790406,600
"1018",32.8,-117.4,1018,188.999642498873,600
"1054",32.8,-117.2,1054,199.980055374473,453
"1090",32.8,-117,1090,212.022890961278,446
"1126",32.8,-116.8,1126,224.957546363487,660
"1162",32.8,-116.6,1162,238.639007023807,680
"1198",32.8,-116.4,1198,252.946074786448,690
"1234",32.8,-116.2,1234,267.778443427122,703
"1270",32.8,-116,1270,283.053494974424,563
"1306",32.8,-115.8,1306,298.703271225958,235
"1342",32.8,-115.6,1342,314.671814115698,220
"1378",32.8,-115.4,1378,330.912924624706,268
"1414",32.8,-115.2,1414,347.388319489732,242
"1450",32.8,-115,1450,364.066136233959,374
"1486",32.8,-114.8,1486,380.919729950069,367
"1522",32.8,-114.6,1522,397.926708278626,300
"1558",32.8,-114.4,1558,415.068157982953,560
"1594",32.8,-114.2,1594,432.328024363134,414
"1630",32.8,-114,1630,449.692612097068,321
"11",33,-123,11,435.459724606174,600
"47",33,-122.8,47,417.850172095481,600
"83",33,-122.6,83,400.325855771459,600
"119",33,-122.4,119,382.898548987168,600
"155",33,-122.2,155,365.582195154531,600
"191",33,-122,191,348.393408449179,600
"227",33,-121.8,227,331.352111211672,600
"263",33,-121.6,263,314.482349857033,600
"299",33,-121.4,299,297.813344344157,600
"335",33,-121.2,335,281.38084305131,600
"371",33,-121,371,265.228875185831,600
"407",33,-120.8,407,249.412015028856,600
"443",33,-120.6,443,233.998291164879,600
"479",33,-120.4,479,219.072876333578,600
"515",33,-120.2,515,204.742650972406,600
"551",33,-120,551,191.14158860731,600
"587",33,-119.8,587,178.436561713259,600
"623",33,-119.6,623,166.832459797994,600
"659",33,-119.4,659,156.574299019424,600
"695",33,-119.2,695,147.9423649805,600
"731",33,-119,731,141.235180403894,600
"767",33,-118.8,767,136.736304022098,600
"803",33,-118.6,803,134.667256548994,600
"839",33,-118.4,839,135.139697078792,600
"875",33,-118.2,875,138.127548237474,600
"911",33,-118,911,143.473734547262,600
"947",33,-117.8,947,150.927833333014,600
"983",33,-117.6,983,160.195837955108,600
"1019",33,-117.4,1019,170.983006787191,600
"1055",33,-117.2,1055,183.020883703756,316
"1091",33,-117,1091,196.079209432511,669
"1127",33,-116.8,1127,209.967634707825,605
"1163",33,-116.6,1163,224.532128151053,710
"1199",33,-116.4,1199,239.64940972181,548
"1235",33,-116.2,1235,255.221218632853,433
