field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
1193,31.8,-116.4,1193,333.8861646,836,3.339744806,,
1229,31.8,-116.2,1229,345.3843581,562,3.492842674,,
1265,31.8,-116,1265,357.4897337,599,3.426459312,,
1301,31.8,-115.8,1301,370.1426816,362,3.623665094,,
1337,31.8,-115.6,1337,383.2889336,403,3.534635544,,
1373,31.8,-115.4,1373,396.8794269,437,3.45707798,,
1409,31.8,-115.2,1409,410.8700342,402,3.454556227,,
1445,31.8,-115,1445,425.2212155,200,3.734200478,,
1481,31.8,-114.8,1481,439.897633,600,3.185514689,,
1517,31.8,-114.6,1517,454.8677556,396,3.340317488,,
1553,31.8,-114.4,1553,470.103474,294,3.438378334,,
1589,31.8,-114.2,1589,485.5797361,295,3.39993,,
1625,31.8,-114,1625,501.2742094,274,,,
6,32,-123,6,483.4276224,600,,,
42,32,-122.8,42,467.4461498,600,,,
78,32,-122.6,78,451.6699749,600,3.177477121,,
114,32,-122.4,114,436.1214381,600,3.218003035,,
150,32,-122.2,150,420.825832,600,3.258444786,,
186,32,-122,186,405.8118163,600,3.298765898,,
222,32,-121.8,222,391.1118792,600,3.33902359,,
258,32,-121.6,258,376.7628419,600,3.378907919,,
294,32,-121.4,294,362.8063964,600,3.41827631,,
330,32,-121.2,330,349.2896596,600,3.456957102,,
366,32,-121,366,336.2657122,600,3.494746208,,
402,32,-120.8,402,323.7940741,600,3.53140235,,
438,32,-120.6,438,311.9410457,600,3.566643238,,
474,32,-120.4,474,300.7798153,600,3.600146294,,
510,32,-120.2,510,290.3902049,600,3.632240534,,
546,32,-120,546,280.8578999,600,3.664410353,,
582,32,-119.8,582,272.2729944,600,3.694272041,,
618,32,-119.6,618,264.7277074,600,3.721069098,,
654,32,-119.4,654,258.3131847,600,3.74431324,,
690,32,-119.2,690,253.1154336,600,3.763521433,,
726,32,-119,726,249.2106191,600,3.778242827,,
762,32,-118.8,762,246.6601677,600,3.788090706,,
798,32,-118.6,798,245.5063022,600,3.792775869,,
834,32,-118.4,834,245.768698,600,3.792144299,,
870,32,-118.2,870,247.4428486,600,3.786205769,,
906,32,-118,906,250.5004446,600,3.775147438,,
942,32,-117.8,942,254.8916938,600,3.75931716,,
978,32,-117.6,978,260.549158,600,3.739182711,,
1014,32,-117.4,1014,267.3924581,600,3.715282917,,
1050,32,-117.2,1050,275.333164,600,3.68815136,,
1086,32,-117,1086,284.2793022,600,3.658106327,,
1122,32,-116.8,1122,294.1391164,411,3.803186894,,
1158,32,-116.6,1158,304.8239245,432,3.744599819,,
1194,32,-116.4,1194,316.2500811,554,3.590791941,,
1230,32,-116.2,1230,328.3401597,568,3.540933847,,
1266,32,-116,1266,341.0235134,574,3.497411251,,
1302,32,-115.8,1302,354.236378,702,3.36025548,,
1338,32,-115.6,1338,367.9216649,341,3.655131102,,
1374,32,-115.4,1374,382.0285601,254,3.744422913,,
1410,32,-115.2,1410,396.5120183,180,3.858426094,,
1446,32,-115,1446,411.332214,180,3.813030005,,
1482,32,-114.8,1482,426.4539904,240,3.634859324,,
1518,32,-114.6,1518,441.8463324,285,3.514301062,,
1554,32,-114.4,1554,457.4818775,296,3.458735704,,
1590,32,-114.2,1590,473.3364713,275,3.455292463,,
1626,32,-114,1626,489.3887699,286,,,
7,32.2,-123,7,472.1467805,600,,,
43,32.2,-122.8,43,455.8069427,600,,,
79,32.2,-122.6,79,439.6498992,600,3.210732698,,
115,32.2,-122.4,115,423.6966249,600,3.252970934,,
151,32.2,-122.2,151,407.9710868,600,3.29528904,,
187,32.2,-122,187,392.5007195,600,3.337826252,,
223,32.2,-121.8,223,377.3169713,600,3.380272627,,
259,32.2,-121.6,259,362.4559235,600,3.422519922,,
295,32.2,-121.4,295,347.9589832,600,3.46443224,,
331,32.2,-121.2,331,333.8736394,600,3.505841494,,
367,32.2,-121,367,320.2542597,600,3.546540499,,
403,32.2,-120.8,403,307.1628849,600,3.58627677,,
439,32.2,-120.6,439,294.6699479,600,3.6247468,,
475,32.2,-120.4,475,282.8548027,600,3.661590576,,
511,32.2,-120.2,511,271.8058983,600,3.696390867,,
547,32.2,-120,547,261.6203768,600,3.730345964,,
583,32.2,-119.8,583,252.4028224,600,3.763828754,,
619,32.2,-119.6,619,244.2628776,600,3.794187546,,
655,32.2,-119.4,655,237.3114876,600,3.820775747,,
691,32.2,-119.2,691,231.6557,600,3.842970848,,
727,32.2,-119,727,227.3922309,600,3.860168695,,
763,32.2,-118.8,763,224.600399,600,3.871821165,,
799,32.2,-118.6,799,223.3354107,600,3.877481937,,
835,32.2,-118.4,835,223.6231832,600,3.876876354,,
871,32.2,-118.2,871,225.4577697,600,3.86998415,,
907,32.2,-118,907,228.8019586,600,3.857093096,,
943,32.2,-117.8,943,233.5909106,600,3.838777542,,
979,32.2,-117.6,979,239.7380436,600,3.815801144,,
1015,32.2,-117.4,1015,247.1420114,600,3.788972855,,
1051,32.2,-117.2,1051,255.6936312,600,3.759223461,,
1087,32.2,-117,1087,265.2819096,600,3.727104425,,
1123,32.2,-116.8,1123,275.7987148,556,3.726748943,,
1159,32.2,-116.6,1159,287.1420046,600,3.650396824,,
1195,32.2,-116.4,1195,299.2177591,770,3.49084568,,
1231,32.2,-116.2,1231,311.9408836,478,3.677671433,,
1267,32.2,-116,1267,325.2353685,314,3.830069304,,
1303,32.2,-115.8,1303,339.0339606,649,3.446974039,,
1339,32.2,-115.6,1339,353.277548,198,3.944236994,,
1375,32.2,-115.4,1375,367.9144022,452,3.513808489,,
1411,32.2,-115.2,1411,382.8993759,180,3.881608725,,
1447,32.2,-115,1447,398.1931175,180,3.826817274,,
1483,32.2,-114.8,1483,413.761337,207,3.707774401,,
1519,32.2,-114.6,1519,429.5741394,241,3.594339609,,
1555,32.2,-114.4,1555,445.6054328,338,3.40540719,,
1591,32.2,-114.2,1591,461.8324091,237,3.54061389,,
1627,32.2,-114,1627,478.2350932,267,,,
8,32.4,-123,8,461.6545659,600,,,
44,32.4,-122.8,44,444.9676343,600,,,
80,32.4,-122.6,80,428.4397009,600,3.242274761,,
116,32.4,-122.4,116,412.0899619,600,3.286238432,,
152,32.4,-122.2,152,395.9405564,600,3.330648899,,
188,32.4,-122,188,380.017089,600,3.375261545,,
224,32.4,-121.8,224,364.3492464,600,3.419975519,,
260,32.4,-121.6,260,348.9715222,600,3.464698076,,
296,32.4,-121.4,296,333.9240606,600,3.509308577,,
332,32.4,-121.2,332,319.2536231,600,3.553650379,,
368,32.4,-121,368,305.0146743,600,3.597522974,,
404,32.4,-120.8,404,291.2705577,600,3.640671969,,
440,32.4,-120.6,440,278.0947049,600,3.682780266,,
476,32.4,-120.4,476,265.5717613,600,3.723457336,,
512,32.4,-120.2,512,253.7984424,600,3.762233019,,
548,32.4,-120,548,242.8838286,600,3.798691273,,
584,32.4,-119.8,584,232.9486958,600,3.835139275,,
620,32.4,-119.6,620,224.1233784,600,3.869890451,,
656,32.4,-119.4,656,216.5436461,600,3.900728464,,
692,32.4,-119.2,692,210.3442248,600,3.926866055,,
728,32.4,-119,728,205.6500065,600,3.947505713,,
764,32.4,-118.8,764,202.5656799,600,3.961855412,,
800,32.4,-118.6,800,201.1653201,600,3.969159365,,
836,32.4,-118.4,836,201.4840472,600,3.96882391,,
872,32.4,-118.2,872,203.5137833,600,3.960674524,,
908,32.4,-118,908,207.204245,600,3.945178509,,
944,32.4,-117.8,944,212.4688993,600,3.923435211,,
980,32.4,-117.6,980,219.1943291,600,3.896999598,,
1016,32.4,-117.4,1016,227.2508542,600,3.867130756,,
1052,32.4,-117.2,1052,236.5024533,600,3.832893133,,
1088,32.4,-117,1088,246.8147426,419,3.972924471,,
1124,32.4,-116.8,1124,258.0605601,642,3.733576536,,
1160,32.4,-116.6,1160,270.1232979,438,3.858130455,,
1196,32.4,-116.4,1196,282.8984339,568,3.689903975,,
1232,32.4,-116.2,1232,296.2937904,387,3.830737591,,
1268,32.4,-116,1268,310.2289905,367,3.819722176,,
1304,32.4,-115.8,1304,324.634474,401,3.733339071,,
1340,32.4,-115.6,1340,339.4503235,184,4.024294376,,
1376,32.4,-115.4,1376,354.6250578,403,3.589156151,,
1412,32.4,-115.2,1412,370.1144841,217,3.79890275,,
1448,32.4,-115,1448,385.8806553,197,3.770529747,,
1484,32.4,-114.8,1484,401.8909479,221,3.64256382,,
1520,32.4,-114.6,1520,418.1172642,200,3.636716604,,
1556,32.4,-114.4,1556,434.5353484,249,3.522398472,,
1592,32.4,-114.2,1592,451.1242064,296,3.437854767,,
1628,32.4,-114,1628,467.8656156,259,,,
9,32.6,-123,9,452.0060025,600,,,
45,32.6,-122.8,45,434.9881322,600,,,
81,32.6,-122.6,81,418.1046391,600,3.271852493,,
117,32.6,-122.4,117,401.3725472,600,3.317682505,,
153,32.6,-122.2,153,384.8116725,600,3.36402607,,
189,32.6,-122,189,368.4451686,600,3.410736799,,
225,32.6,-121.8,225,352.3001905,600,3.457767487,,
261,32.6,-121.6,261,336.4086981,600,3.505049229,,
297,32.6,-121.4,297,320.8084266,600,3.552485943,,
333,32.6,-121.2,333,305.5440481,600,3.599944115,,
369,32.6,-121,369,290.6685464,600,3.647243261,,
405,32.6,-120.8,405,276.2448098,600,3.69414258,,
441,32.6,-120.6,441,262.3474199,600,3.740325451,,
477,32.6,-120.4,477,249.0645558,600,3.785383701,,
513,32.6,-120.2,513,236.4998366,600,3.828803301,,
549,32.6,-120,549,224.7737763,600,3.869957209,,
585,32.6,-119.8,585,214.0243127,600,3.90883708,,
621,32.6,-119.6,621,204.4056208,600,3.948234797,,
657,32.6,-119.4,657,196.0842155,600,3.98455739,,
693,32.6,-119.2,693,189.2313504,600,4.016059399,,
729,32.6,-119,729,184.0111976,600,4.041766644,,
765,32.6,-118.8,765,180.5654378,600,4.06059742,,
801,32.6,-118.6,801,178.9965868,600,4.071185112,,
837,32.6,-118.4,837,179.3539104,600,4.071969032,,
873,32.6,-118.2,873,181.6260394,600,4.062075615,,
909,32.6,-118,909,185.7427093,600,4.042338371,,
945,32.6,-117.8,945,191.585039,600,4.015057564,,
981,32.6,-117.6,981,199.0010789,600,3.983641148,,
1017,32.6,-117.4,1017,207.8224003,600,3.953390837,,
1053,32.6,-117.2,1053,217.8783511,600,3.944323778,,
1089,32.6,-117,1089,229.0063122,464,4.16798687,,
