,network,station,latitude,longitude,site_term
1623,,JCC,40.8175,-124.0296,0.8475793274931961
1624,,25029,34.749,-119.131,-0.4970718935618002
1625,,34095,35.225,-118.565,0.16582977184346373
1626,,WER,35.0605,-119.0271,-0.6160884418944265
1627,,13094,33.577,-117.131,0.09947508338500913
1628,,23072,34.253,-117.174,-0.2009096766007913
1629,,23077,34.056999999999995,-117.698,0.2348844489985837
1630,,23111,34.247,-117.301,-0.5366043146283545
1631,,23113,34.215,-117.121,-0.4261773544665212
1632,,23120,34.472,-117.207,-0.20051902751445427
1633,,23842,34.0,-117.934,0.025372237124801567
1634,,24010,34.207,-118.233,0.1026834228583492
1635,,24946,34.173,-118.229,0.2767937359938545
1636,,PASC,34.1714,-118.1852,-0.7588287181666685
1637,,SHF2,32.9333,-115.7039,-0.2429085553054917
1638,,SHF7,32.944,-115.718,-0.2491351736191324
1639,,1939,34.3082,-118.5005,-0.30444609645334536
1640,,24015,34.196,-118.341,-0.17187424221257852
1641,,24051,34.25,-118.536,0.3129627513234959
1642,,24064,34.434,-118.532,-0.10858829951057968
1643,,24407,34.3338,-118.397,-0.34363339052046515
1644,,24801,34.146,-118.413,0.12548210947364222
1645,,24807,34.167,-118.596,-0.24410375111269556
1646,,24815,34.199,-118.396,-0.29106982331765946
1647,,24856,34.185,-118.884,-0.25816328869075034
1648,,24857,34.186,-118.929,-0.34053181140766553
1649,,24859,34.18,-118.76,-0.4919629755107601
1650,,24860,34.271,-118.735,0.22124860236371424
1651,,24861,34.262,-118.669,0.18349182662572305
1652,,24864,34.257,-118.995,-0.00011566192087279272
1653,,24866,34.193000000000005,-118.547,-0.10662090046180628
1654,,24947,34.18,-118.336,-0.10726356814211484
1655,,24970,34.007,-118.436,0.24549303668762576
1656,,24981,34.168,-118.379,-0.3421519411594632
1657,,24986,34.257,-118.503,-0.4638015426241341
1658,,25147,34.113,-119.119,0.3217226362116559
1659,,14038,33.813,-118.37,0.5615117388320011
1660,,24858,34.141,-118.875,-0.19383817695265024
1661,,36316,35.615,-120.657,0.03559753150476802
1662,,36341,35.387,-120.856,-0.3693366713345228
1663,,CIU,33.4458,-118.483,-0.224131436309536
1664,,COO,33.896,-118.2164,-0.97060325927003
1665,,5471,34.1999,-118.362,0.013692370041697773
1666,,13095,33.818000000000005,-117.312,-0.4599504168877332
1667,,24009,34.258,-118.301,-0.16766163500850162
1668,,24011,34.126999999999995,-118.346,-0.22064187364705432
1669,,24021,34.174,-118.2,-0.11652725937221428
1670,,24808,34.172,-118.42,0.019018747594542904
1671,,24979,34.029,-118.409,0.013744004268410442
1672,,24980,34.056,-118.274,0.08455941882172471
1673,,5297,34.1966,-118.0231,0.169758290794669
1674,,GRF,34.1192,-117.809,0.5124130390746291
1675,,SMB,34.9022,-120.4471,-0.49622728777673497
1676,,34349,35.616,-118.478,-0.1915385194042996
1677,,TAB,34.3825,-117.6819,-1.896110894759109
1678,,24016,34.144,-118.262,0.3985791366323482
1679,,JELB,36.9275,-121.8276,0.0069634502059094956
1680,,SCCB,37.2874,-121.8642,-0.047459730329164215
1681,,36317,35.464,-120.65,0.20610510306042296
1682,,BLD,35.5338,-120.9067,-0.7255178486717184
1683,,WRD,35.4588,-120.8817,-0.4007113483195891
1684,,OWL1,36.3856,-117.8597,-0.9718685856439158
1685,,1808,36.8018,-118.204,-0.6897992058884995
1686,,35110,35.26300000000001,-119.815,0.7008908459282817
1687,,36457,35.927,-120.456,1.0927852423906437
1688,,1775,37.407,-122.0946,0.12966506337701014
1689,,1779,37.2675,-121.8666,0.059911661934730825
1690,,1830,37.3742,-122.0781,0.1196318866052582
1691,,1835,38.4421,-122.6068,0.4180787656551293
1692,,1848,38.3674,-122.524,0.3935295397875413
1693,,SUTB,39.2291,-121.7861,0.6516596128805778
