EarthquakeID,StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
uw10697073,XU.E070,,-5.151238853,-3.95515549,-3.14427866,-3.669671606,-2.938784095,-2.173628855,-1.16544165,-0.576496125,-0.2545642,-0.816204537
uw10697073,XU.N100,,,,-3.255616618,-3.263200879,-3.08807103,-2.485909847,-0.936467679,-0.344360198,-0.816231076,-1.674928359
uw10697073,XU.N120,,,,-2.156749822,-2.392031248,-2.36111921,-1.976212273,-1.202293782,-0.800974928,-2.041901999,
uw10697073,XU.S100,,,-3.692631688,-3.111843823,-2.142202416,-2.842054494,-2.796315966,-1.59221197,-0.667076033,-0.342983646,-1.271256417
uw10697073,XU.W080,,-3.530774305,-4.068848829,-3.808627146,-3.86350575,-2.569670007,-2.735481513,-1.278619741,-1.10675472,-0.692039143,-1.543926011
uw10697073,XU.W090,-4.916375915,-4.774112348,-4.527693619,-4.110558341,-3.27714019,-2.904201042,-2.50183291,-1.130293721,-0.585537445,-0.084725854,0.031092103
uw10697073,XU.W110,,,-2.14860832,-2.03282525,-2.057728354,-2.633377522,-1.437325892,-0.892738883,-0.162935415,0.654114592,
uw10700288,TA.E05A,-4.377692004,-4.834102756,-4.750172716,-4.490395706,-4.065505975,-2.989290083,-2.735324651,-2.000520354,-1.110474714,-0.465084242,-1.632844423
uw10700288,TA.F04A,-3.413841704,-3.224092108,-3.289573009,-3.223925704,-2.765359412,-1.62913533,-1.062967969,-0.048758663,0.040703737,0.313937602,0.302637035
uw10700288,TA.H04A,,,-1.758518799,-1.355050057,-1.14261637,-0.763101543,-0.855301164,-0.71886312,-0.411670893,0.29249329,
uw10701498,CC.WIFE,,-0.142416383,-0.491385672,-0.358962051,-0.410568622,-0.473950424,-0.11484337,-0.224529495,-0.253004169,-0.557616076,-0.731687739
uw10701498,GS.BHD,-0.360360651,-0.237387477,-0.104777907,-0.549887524,-0.559332705,-0.943662708,-0.219579353,-0.216418846,0.917196706,0.492610076,1.034258577
uw10701498,GS.BRI,0.15248471,0.249482846,0.070635933,0.078778778,0.041658338,0.047326123,0.061785916,-0.735689483,-0.352979233,-0.539452507,-0.66136713
uw10701498,GS.GRE,0.493389627,0.262439019,0.149078822,-0.299090095,0.106360955,-0.410193658,-0.19703985,0.449165647,0.339524321,1.051280247,1.004684529
uw10701498,GS.ICR,-0.061757936,0.17428352,0.027730018,-0.366859521,-0.625721781,-0.938923028,-0.766246265,0.391670971,-0.135713875,0.405255061,0.865453163
uw10701498,GS.LEVE,,,-0.741474438,-1.0049745,0.172568968,-0.991885184,-0.401169359,1.20593124,1.131001085,0.245604346,0.67575395
uw10701498,GS.MAD,0.285342385,0.49131794,0.156484619,-0.199785603,0.166189134,0.228894135,-0.196125855,0.203950488,0.049092211,1.03917753,1.193731676
uw10701498,GS.MER,0.333941208,0.633247511,0.090791559,-0.006843008,0.065511314,0.411856817,-0.228027348,0.126393681,-0.187790371,-0.042982573,0.165325235
uw10701498,GS.MS8,-2.331344393,-2.500562593,-2.639923176,-2.752641191,-3.087035672,-2.899483446,-2.551825258,-2.240708238,-2.025391328,-1.340069333,-1.105572486
uw10701498,GS.NEW,-0.333519322,0.51970869,0.294689855,-0.036226851,-0.240823744,0.347645369,0.261734768,-0.211590014,0.059627724,0.376767403,0.465644072
uw10701498,GS.PIO2,0.282832633,0.469375972,0.411668978,-0.022193919,-0.312209967,0.137157414,0.095441699,0.106086594,0.115066036,0.860982918,0.303440965
uw10701498,GS.RAI,-0.899718913,0.382599243,-0.121330015,0.071684465,-0.348057893,-0.110861586,-0.088270898,-0.252618379,0.081594204,0.344089053,0.169304088
uw10701498,GS.SEW,0.118720907,0.481007702,-0.410192613,-0.476511883,-0.719245032,-0.506717509,-0.471184531,-0.387226366,-0.657260965,-0.46062537,-0.13110802
uw10701498,PB.B003,-2.139143627,-1.908170554,-2.421098778,-2.967296247,-2.490525121,-2.094567208,-1.827934456,-1.904319084,-1.795967458,-1.803207404,-1.837818641
uw10701498,PB.B004,-2.250245661,-2.169322925,-2.254878961,-3.005394003,-2.638622271,-2.745919686,-2.517319145,-1.852682109,-1.531596262,-1.825639237,-1.986904325
uw10701498,PB.B005,-1.337918564,-1.152678518,-2.059692838,-1.979381475,-2.150954008,-2.127621068,-1.98317775,-2.687108521,-2.271559297,-1.928097573,-1.755358528
uw10701498,PB.B006,-1.376791451,-1.241254564,-1.864111291,-2.006650672,-2.359304944,-2.098664692,-1.792042269,-2.473906571,-2.234586197,-1.762525593,-1.584432715
uw10701498,PB.B007,-1.123501133,-1.339419251,-2.158837736,-1.901848761,-2.457795712,-2.262693938,-1.561183571,-2.179869486,-1.936956721,-1.339648139,-1.42834144
uw10701498,PB.B009,0.228640474,0.304744649,-0.861909915,-1.319138968,-1.639969471,-1.440268068,-1.688867253,-1.007253672,-1.391717873,-1.266931463,-2.361590259
uw10701498,PB.B010,0.530516982,0.472685528,-0.717697148,-1.460139294,-1.734177897,-1.38455076,-1.097739142,-1.149362125,-1.340575161,-1.279016237,-2.272796183
uw10701498,PB.B011,0.238402039,0.01883559,-0.67305632,-1.252741519,-1.472795554,-1.4585515,-1.272801327,-1.388380637,-1.456565567,-1.396831692,-2.458534703
uw10701498,PB.B018,-1.088090019,-1.322847959,-1.526321911,-2.021565814,-2.450021311,-2.224629919,-2.529155765,-1.605047866,-2.130364024,-1.822880923,-2.669581078
uw10701498,TA.A04A,-0.298594265,0.304519325,-0.251452485,-0.945784082,-1.206755196,-0.392683706,-0.286048003,-0.449330582,-0.566870193,-1.047295322,-0.218060423
uw10701498,TA.A05A,0.949025793,1.187078033,0.476791195,1.281114939,0.371747812,0.543490909,-0.063855947,0.570248869,1.137761925,-0.539171141,-0.456572289
uw10701498,TA.A08A,4.204268747,3.013662904,2.108218255,1.441609707,0.823429105,1.003077705,0.675851485,0.039655954,0.221592604,-0.616736134,-0.661471668
uw10701498,TA.A09A,4.332694389,4.253269876,3.166915579,2.038413973,2.381412457,1.453767035,1.319427042,0.698439386,0.659745517,-0.317283586,-0.174207146
uw10701498,TA.B04A,0.086551925,-0.030819146,-0.274012556,-1.064463732,-0.697650329,-0.973923117,-0.751136526,-1.533419794,-1.373432309,-1.057371474,-1.076908796
uw10701498,TA.B05A,1.016748589,1.350375888,0.335506301,-0.002269535,0.29854817,0.127961886,-0.038672032,-0.487874807,-0.51474488,-0.723756564,-0.466968763
uw10701498,TA.B06A,1.943179931,2.376198505,1.599058797,1.129938701,0.828445142,0.394828716,0.378599198,0.300759595,-0.072925555,0.16003665,-0.993008131
uw10701498,TA.B07A,1.464632087,1.14421243,1.139127809,1.546673789,0.764374259,1.518547994,1.581925616,-0.023044468,0.617615639,-0.240575973,-0.59822214
uw10701498,TA.B09A,2.501848246,2.231522736,1.645784994,1.364179384,1.118993227,0.111837922,0.478791354,0.40853147,-0.230089752,-0.827050332,-0.59479208
uw10701498,TA.C03A,,,-1.639185928,-1.872018637,-1.647513988,-1.484156819,-1.452955098,-1.100861369,-1.343613758,-0.725270189,-0.21532419
uw10701498,TA.C04A,1.533843811,1.785010968,0.854875313,1.298676193,1.127753892,0.430383844,-0.249780768,-1.119356947,-0.697592877,-2.707445992,-1.421944234
uw10701498,TA.C05A,1.268679787,1.567621119,0.365474845,0.154968742,0.128943278,-0.253919996,0.536556834,0.739660359,-0.963174317,-0.928653996,-0.615202348
uw10701498,TA.C06A,3.020710158,2.532277912,2.049371016,1.904257338,1.708152816,2.857977934,1.917578155,0.332863164,-0.019794602,-0.90676483,-1.344763537
uw10701498,TA.C07A,1.123804116,1.609340605,1.361595354,1.100798931,0.795819382,1.38723631,0.924215232,0.75198594,0.645388247,-0.621390149,-0.112306551
uw10701498,TA.C08A,3.987473466,2.615639687,2.18520196,1.716144741,1.02708601,0.85144234,0.794374295,-0.158050852,-0.244715909,-0.638927182,-0.787380153
uw10701498,TA.C09A,3.713109836,3.831390398,3.92336729,4.468460943,3.781423055,2.94111466,2.000469818,1.352990118,0.836653419,-0.111472937,-0.731751855
uw10701498,TA.D03A,-0.806690144,-0.066160982,-0.408528255,-1.101155616,-0.939086516,-1.487783996,-0.601735557,-0.851702471,-0.635329348,-0.316800084,0.633993367
uw10701498,TA.D04A,0.762575503,0.509826338,0.12361835,-0.256075832,-0.401781274,-0.599774743,-0.269665388,-0.419954814,0.22906013,0.661808873,0.249131379
uw10701498,TA.D05A,-1.150179948,-1.512789392,-1.347475901,-1.203296798,-1.429103288,-1.358264616,-1.677418755,-1.214664773,-1.0550542,0.152182041,0.575614513
uw10701498,TA.D06A,1.279823379,1.335016674,1.422283908,1.070309634,0.907559625,0.816323027,0.305164925,0.540835823,0.454467417,0.611926959,0.435957984
uw10701498,TA.D07A,2.182195335,2.869017117,1.873337402,0.834132487,0.640480875,-0.05044068,-0.292945587,-0.25000892,-0.910356279,-0.577729347,-0.562104069
uw10701498,TA.D08A,2.907898328,2.79149458,1.720865323,1.084655752,0.993879677,0.435393499,0.39930063,0.373180909,-0.337402287,-0.154078986,-1.02250652
uw10701498,TA.D09A,2.645806472,2.079770917,1.630699339,1.431217994,0.889856975,1.017158091,0.231713292,0.571156492,-0.002307862,-0.425865565,-0.623599244
